,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
2025-06-01 11,,,,,,,96.16,
2025-06-01 12,184.08,166.62,109.65,78.74,66.73,138.48,95.19,135.44
2025-06-01 13,189.81,171.06,,82.52,66.32,146.07,,146.75
2025-06-01 14,200.91,,99.53,89.64,66.78,158.55,83.06,156.50
2025-06-01 15,201.38,164.54,,92.39,65.80,142.83,,161.59
2025-06-01 16,165.94,140.19,104.54,87.95,64.87,140.00,82.59,128.84
2025-06-01 17,154.75,,,55.11,63.94,120.08,79.40,112.21
2025-06-01 18,,124.41,98.13,,64.02,,,
2025-06-01 19,165.77,138.45,110.42,67.33,63.25,128.68,76.98,126.20
2025-06-01 20,166.06,,111.11,67.06,60.37,131.69,,130.67
2025-06-01 21,168.10,142.20,105.08,67.87,61.73,130.13,75.87,127.27
2025-06-01 22,175.17,,94.16,73.14,56.43,134.77,77.70,130.76
2025-06-01 23,179.01,143.72,84.61,78.21,41.44,138.52,78.45,135.30
2025-06-02 00,,145.57,,79.46,,140.45,,
2025-06-02 01,176.77,138.74,75.24,80.34,34.64,138.15,72.31,130.24
2025-06-02 02,171.10,,68.44,77.92,35.17,138.08,,124.60
2025-06-02 03,,132.78,66.14,77.82,35.42,130.86,62.73,124.78
2025-06-02 04,165.67,133.89,61.13,70.26,36.01,118.25,61.09,114.12
2025-06-02 05,148.73,126.00,,66.81,32.86,106.09,68.15,102.95
2025-06-02 06,136.19,129.17,60.56,,33.47,,68.56,
2025-06-02 07,130.19,134.51,67.12,60.84,43.96,97.45,75.31,101.21
2025-06-02 08,131.01,142.68,90.47,,72.16,100.01,90.30,103.58
2025-06-02 09,135.39,144.42,99.31,58.86,71.05,112.15,92.26,
2025-06-02 10,142.33,151.54,106.45,58.70,73.46,119.05,91.82,110.75
2025-06-02 11,159.06,165.26,107.08,67.15,74.31,127.97,89.49,119.29
2025-06-02 12,173.02,,111.52,77.05,68.63,130.68,86.46,131.69
2025-06-02 13,185.78,169.53,106.50,81.73,,137.63,87.19,145.92
2025-06-02 14,198.51,169.96,99.92,88.66,60.84,150.55,86.85,152.35
2025-06-02 15,201.37,157.65,98.78,93.21,62.24,139.58,81.36,160.29
2025-06-02 16,160.66,138.93,104.97,90.47,63.31,135.42,83.79,129.03
2025-06-02 17,,126.55,99.01,,61.66,112.65,81.59,105.56
2025-06-02 18,147.32,,,59.86,64.78,,,
2025-06-02 19,160.70,134.70,102.73,67.56,69.33,127.23,78.02,122.30
2025-06-02 20,162.96,137.44,105.38,64.31,66.20,130.27,77.38,125.32
2025-06-02 21,168.86,138.89,101.78,,63.34,128.96,75.40,
2025-06-02 22,175.86,135.15,94.00,73.00,60.47,133.73,76.79,134.46
2025-06-02 23,179.29,143.62,,78.23,60.34,135.78,78.72,137.36
2025-06-03 00,176.75,,85.55,78.77,,136.68,70.18,135.31
2025-06-03 01,174.84,139.66,75.37,79.49,32.86,135.11,,127.87
2025-06-03 02,170.37,136.78,,78.47,34.44,128.91,63.88,123.56
2025-06-03 03,163.67,,67.47,78.18,35.64,125.16,62.27,122.69
