,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
,,,,,,,,
2025-03-01 11,,,,3.13,37.33,45.00,31.79,
2025-03-01 12,63.12,54.77,50.79,2.75,,45.68,30.56,52.21
2025-03-01 13,57.98,49.16,52.69,,37.72,43.11,27.60,48.03
2025-03-01 14,54.61,50.29,52.60,2.72,38.67,39.89,,46.44
2025-03-01 15,,52.63,50.69,2.45,42.66,,27.82,
2025-03-01 16,63.68,55.51,,,42.25,46.45,,51.10
2025-03-01 17,,,53.18,2.58,45.06,,29.81,50.03
2025-03-01 18,65.77,56.24,,3.09,41.18,46.07,,53.54
2025-03-01 19,71.79,52.17,57.76,3.12,,58.67,29.59,
2025-03-01 20,68.89,57.69,58.63,3.02,39.74,57.23,33.05,50.77
2025-03-01 21,64.43,49.54,54.35,,42.75,,,
2025-03-01 22,,,,3.11,41.38,56.41,31.79,47.02
2025-03-01 23,63.88,51.13,52.25,3.50,,50.86,30.57,47.58
2025-03-02 00,,53.25,41.65,,38.91,50.51,29.22,49.85
2025-03-02 01,64.85,48.81,38.69,3.98,26.54,42.69,28.08,46.45
2025-03-02 02,56.88,47.83,35.30,4.22,25.84,40.18,,42.89
2025-03-02 03,54.35,,,3.47,25.86,38.16,24.51,42.56
2025-03-02 04,51.95,48.90,34.16,,,37.37,20.70,42.12
2025-03-02 05,52.08,47.42,,3.90,26.47,35.32,,45.82
2025-03-02 06,43.19,49.85,31.92,,,32.51,29.83,37.98
2025-03-02 07,,,,3.33,23.44,,30.62,
2025-03-02 08,42.57,47.08,30.60,2.71,24.82,34.01,31.83,38.04
2025-03-02 09,44.17,46.96,41.98,,30.95,37.66,,40.18
2025-03-02 10,50.54,48.71,48.74,3.05,34.56,42.85,41.05,40.11
2025-03-02 11,56.15,52.00,50.50,2.93,,45.94,41.25,
2025-03-02 12,66.15,59.01,,2.56,38.61,50.71,,46.88
2025-03-02 13,62.04,,52.09,2.55,,43.79,36.70,53.47
2025-03-02 14,,57.67,53.12,2.94,42.13,40.17,34.82,
2025-03-02 15,58.82,,,3.12,44.03,,34.94,49.98
2025-03-02 16,64.56,57.13,48.68,,43.24,44.91,,53.82
2025-03-02 17,66.62,,46.29,3.27,42.80,,32.37,52.05
2025-03-02 18,,56.30,,3.13,39.77,45.46,,52.60
2025-03-02 19,71.91,56.68,53.06,2.67,,56.41,33.40,
