Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I,Time_ISO,hour,day,day_of_week,month,week_of_year,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,KHBR01_K_LN01_Q0_Y_PH_I_lag_1,KHBR01_K_LN01_Q0_Y_PH_I_lag_2,KHBR01_K_LN01_Q0_Y_PH_I_lag_3,KHBR01_K_LN01_Q0_Y_PH_I_lag_6,KHBR01_K_LN01_Q0_Y_PH_I_lag_12,KHBR01_K_LN01_Q0_Y_PH_I_lag_24,KHBR01_K_LN01_Q0_Y_PH_I_lag_48,KHBR01_K_LN01_Q0_Y_PH_I_lag_168,KHBR01_K_LN01_Q0_Y_PH_I_rolling_mean_6,KHBR01_K_LN01_Q0_Y_PH_I_rolling_std_6,KHBR01_K_LN01_Q0_Y_PH_I_rolling_mean_12,KHBR01_K_LN01_Q0_Y_PH_I_rolling_std_12,KHBR01_K_LN01_Q0_Y_PH_I_rolling_mean_24,KHBR01_K_LN01_Q0_Y_PH_I_rolling_std_24,KHBR01_K_LN01_Q0_Y_PH_I_rolling_mean_48,KHBR01_K_LN01_Q0_Y_PH_I_rolling_std_48
2025-03-08 11:00:00,71.02,124.862,48.28,3.69,33.75,49.28,29.99,108.581,2025-03-08 11:00:00,11,8,5,3,10,1,0.259,-0.966,-0.975,-0.223,69.07,60.44,53.98,52.15,61.99,69.98,51.32,142.781,74.348,34.592,74.059,32.794,76.762,30.782,77.299,32.408
2025-03-08 12:00:00,70.42,60.79,53.35,24.106,53.114,52.87,36.24,55.96,2025-03-08 12:00:00,12,8,5,3,10,1,0.0,-1.0,-0.975,-0.223,71.02,69.07,60.44,142.781,142.781,66.15,55.96,63.12,62.288,9.41,68.029,24.65,76.94,30.731,77.6,32.272
2025-03-08 13:00:00,68.02,57.13,52.49,3.0,36.24,47.32,31.54,54.42,2025-03-08 13:00:00,13,8,5,3,10,1,-0.259,-0.966,-0.975,-0.223,70.42,71.02,69.07,48.8,67.31,64.09,63.49,57.98,65.492,6.813,68.088,24.649,77.104,30.67,77.694,32.236
2025-03-08 14:00:00,63.84,124.862,79.201,2.75,39.11,46.44,62.711,108.581,2025-03-08 14:00:00,14,8,5,3,10,1,-0.5,-0.866,-0.975,-0.223,68.02,70.42,71.02,53.98,63.03,142.781,142.781,54.61,67.135,4.15,68.156,24.635,73.815,27.376,76.05,30.828
2025-03-08 15:00:00,142.781,60.37,52.69,24.106,40.52,107.206,35.7,58.14,2025-03-08 15:00:00,15,8,5,3,10,1,-0.707,-0.707,-0.975,-0.223,63.84,68.02,70.42,60.44,59.87,62.77,58.01,142.781,80.858,30.442,75.065,32.478,77.148,30.649,77.816,32.172
2025-03-08 16:00:00,74.71,59.62,79.201,3.02,40.69,49.24,34.35,108.581,2025-03-08 16:00:00,16,8,5,3,10,1,-0.866,-0.5,-0.975,-0.223,142.781,63.84,68.02,69.07,57.48,69.39,67.37,63.68,81.798,30.09,76.501,32.007,77.37,30.609,77.969,32.138
2025-03-08 17:00:00,142.781,124.862,52.47,3.27,40.99,107.206,32.65,58.71,2025-03-08 17:00:00,17,8,5,3,10,1,-0.966,-0.259,-0.975,-0.223,74.71,142.781,63.84,71.02,52.15,74.84,142.781,142.781,93.759,38.135,84.054,36.162,80.201,33.381,77.969,32.138
2025-03-08 18:00:00,72.28,60.52,79.201,3.11,41.69,49.47,62.711,60.25,2025-03-08 18:00:00,18,8,5,3,10,1,-1.0,-0.0,-0.975,-0.223,142.781,74.71,142.781,70.42,142.781,142.781,65.64,65.77,94.069,37.915,78.178,31.131,77.264,30.623,78.107,32.098
2025-03-08 19:00:00,76.7,124.862,60.5,24.106,41.06,64.56,33.47,108.581,2025-03-08 19:00:00,19,8,5,3,10,1,-0.966,0.259,-0.975,-0.223,72.28,142.781,74.71,68.02,48.8,72.04,71.03,71.79,95.515,36.873,80.503,29.748,77.458,30.603,78.225,32.082
2025-03-08 20:00:00,76.25,60.37,61.06,2.99,43.7,64.43,36.48,56.9,2025-03-08 20:00:00,20,8,5,3,10,1,-0.866,0.5,-0.975,-0.223,76.7,72.28,142.781,63.84,53.98,68.91,69.85,68.89,97.584,35.044,82.359,28.616,77.764,30.551,78.359,32.06
